"pro","class"
0.288373107333083,"No"
0.48276610628091,"No"
0.228433515995418,"No"
0.282830822667653,"No"
0.266714548060733,"No"
0.277501200485254,"No"
0.338385242742166,"No"
0.966886858700935,"No"
0.265275401669406,"No"
0.822592012807361,"No"
0.273055119808081,"No"
0.555728459934627,"No"
0.301394050838103,"No"
0.305448414198918,"No"
0.254343557298614,"No"
0.275953328102875,"No"
0.187664564639461,"No"
0.225006836998518,"No"
0.304702454272217,"No"
0.208585739067412,"No"
0.620871547374882,"No"
0.256763404722819,"No"
0.369799250375619,"No"
0.187748625572548,"No"
0.363243808144847,"No"
0.379799941232801,"No"
0.304613881011176,"No"
0.0932733468772858,"No"
0.110271122425626,"No"
0.352220902101703,"No"
0.486262048399804,"No"
0.288136785804264,"No"
0.254343557298614,"No"
0.259937363626776,"No"
0.250181390205676,"No"
0.278581393562512,"No"
0.0922680613703528,"No"
0.255216499864941,"No"
0.271522175759177,"No"
0.254343557298614,"No"
0.305758586222169,"No"
0.19467979777414,"No"
0.266563079528471,"No"
0.21967931401187,"No"
0.219093289573835,"No"
0.29269942438059,"No"
0.254343557298614,"No"
0.31760116254624,"No"
0.254343557298614,"No"
0.504823024013434,"No"
0.102568899302067,"No"
0.781656344928224,"No"
0.468043287764915,"No"
0.357108769985564,"No"
0.173092821690081,"No"
0.0171108350603722,"No"
0.384133573869564,"No"
0.83796171097595,"No"
0.483489830241476,"No"
0.903634339354942,"No"
0.32263142261352,"No"
0.481019992092297,"No"
0.287289007556416,"No"
0.284626986732694,"No"
0.232102649297369,"No"
0.604405357947058,"No"
0.216921643295298,"No"
0.494414202990278,"No"
0.348419755921918,"No"
0.254343557298614,"No"
0.352891221172338,"No"
0.464801936034978,"No"
0.312146843312032,"No"
0.393185566834241,"No"
0.188212087133007,"No"
0.191742039721276,"No"
0.246617814571373,"No"
0.248823752021032,"No"
0.393866041853236,"No"
0.210511325664415,"No"
0.254343557298614,"No"
0.373754321257879,"No"
0.338124062797438,"No"
0.198269630338455,"No"
0.423952843325339,"No"
0.249948678044072,"No"
0.254343557298614,"No"
0.304799800626977,"No"
0.486677259877151,"No"
0.595673753048752,"No"
0.998151145093685,"No"
0.255117778780898,"No"
0.43529607510895,"No"
0.294233288625619,"No"
0.254343557298614,"No"
0.28928680164713,"No"
0.967316225984414,"No"
0.245159884665133,"No"
0.337515361937537,"No"
0.0589903955856879,"No"
0.220830509696136,"No"
0.259877269799435,"No"
0.280502367129836,"No"
0.0927560516908785,"No"
0.993056584321201,"No"
0.330518605319196,"No"
0.245332880235257,"No"
0.265123387044291,"No"
0.556847769204333,"No"
0.755365227635631,"No"
0.27656809037862,"No"
0.395385724141223,"No"
0.999696191006868,"No"
0.146993183576285,"No"
0.212122289335388,"No"
0.272399834134741,"No"
0.345613240611662,"No"
0.169992108117427,"No"
0.192969801836963,"No"
0.254343557298614,"No"
0.193340436821624,"No"
0.251586783631694,"No"
0.268757757443559,"No"
0.205978633411581,"No"
0.764094565317192,"No"
0.254343557298614,"No"
0.258672656395984,"No"
0.27211672280988,"No"
0.119183337027412,"No"
0.0328788134753184,"No"
0.680165836615404,"No"
0.287148530125866,"No"
0.261457008721332,"No"
0.240958121291194,"No"
0.0380979028069806,"No"
0.303925435509698,"No"
0.592392323742339,"No"
0.426526734566437,"No"
0.394461900497654,"No"
0.307873006757994,"No"
0.250181390205676,"No"
0.478476292699397,"No"
0.265275401669406,"No"
0.132317380245204,"No"
0.254343557298614,"No"
0.29575723787928,"No"
0.118679302426278,"No"
0.280566087369662,"No"
0.312424417201246,"No"
0.250181390205676,"No"
0.467207690484019,"No"
0.120112155331183,"No"
0.451291862709476,"No"
